TimeStamp,"Symbol","Price","Change from the Close","Volume Today","Volume Today","Earnings Date","Change in 20 Days","Float","Average Daily Volume (3M)"
2026-09-22 23:59:47,"VKTX","41.66","38.359349","41227657","1626.7733","26.25","22.927117","1.1364e+08","2288430"
2026-09-22 23:59:47,"BFLY","9.8923","21.527027","19819555","438.01322","27.25","3.5842932","2.0011e+08","6811690"
2026-09-22 23:59:47,"VICR","269","20.142924","1992376","229.6462","25.25","34.137832","25713200","886848"
2026-09-22 23:59:47,"INOD","72.4","18.591319","5406664","526.21957","32.25","12.755023","32830000","1221950"
2026-09-22 23:59:47,"TNGX","25.6838","15.019257","6968919","232.57631","","7.5536013","1.6686e+08","2844240"
2026-09-22 23:59:47,"SGRY","15.7","14.934114","8112125","357.02638","","8.1267218","77109600","1988270"
2026-09-22 23:59:47,"BLLN","116.07","11.75621","1120280","175.52012","","22.140377","23967000","709604"
2026-09-22 23:59:47,"IBRX","9.2899","9.939645","21131751","182.73155","32.25","19.254172","4.00984e+08","10202000"
2026-09-22 23:59:47,"GRAB","3.19","9.6219931","189625466","240.66546","","-8.3333333","2.7856901e+09","48054400"
2026-09-22 23:59:47,"RMBS","105.71","9.0243399","4839543","155.83193","29.25","15.859272","1.07432e+08","2882900"
2026-09-22 23:59:47,"SRAD","13.65","8.8516746","6530051","304.44306","","5","1.8747501e+08","2297180"
2026-09-22 23:59:47,"MPWR","1384.96","8.396464","1535218","191.2508","31.25","5.2177325","47397200","874525"
2026-09-22 23:59:47,"BHE","83.42","8.1130119","817697","232.41847","26.25","14.840308","34818400","418427"
2026-09-22 23:59:47,"DKS","133.6","8.0643857","4706726","137.7506","-19.75","-27.086174","62999200","2831810"
2026-09-22 23:59:47,"ONON","29.5077","8.0076867","43259789","412.42275","","-1.706529","2.2520899e+08","7120310"
2026-09-22 23:59:47,"TWLO","285.71","7.3855531","4133948","202.2519","27.25","26.813136","1.5303e+08","2084800"
2026-09-22 23:59:47,"KLIC","90","7.0409134","1734571","252.26161","","4.9562682","50549300","986858"
2026-09-22 23:59:47,"SHOP","147.6","7.0185615","25466405","239.67835","22.25","-1.1055276","1.21585e+09","9312710"
2026-09-22 23:59:47,"NOVT","143.5","6.8423796","776826","205.06846","","-1.1980171","37551100","446266"
2026-09-22 23:59:47,"DIOD","96.72","6.602006","945665","183.06052","32.25","2.8498511","44958000","613133"
2026-09-22 23:59:47,"XMTR","105.9541","6.4544358","1225753","141.66084","32.25","26.754516","49104600","744471"
2026-09-22 23:59:47,"MANE","119.85","6.25","2137328","271.24829","","16.562926","30245400","767168"
2026-09-22 23:59:47,"OUST","40.42","6.0335782","3014470","149.57491","32.25","5.2056221","66380000","3405170"
2026-09-22 23:59:47,"SAIL","21.5004","5.8090551","9041933","150.82943","-8.75","15.345494","71099696","4056410"
2026-09-22 23:59:47,"GME","24.07","5.7557118","15090690","159.81577","-9.75","32.180121","4.6282e+08","6174250"
2026-09-22 23:59:47,"PS","51","5.7433133","1836384","170.87633","","27.309036","90239504","317644"
2026-09-22 23:59:47,"PONY","7.2562","5.4680233","5892120","168.17292","","-11.832321","2.8589798e+08","3689170"
2026-09-22 23:59:47,"AUGO","94","5.4402692","2214760","201.55051","32.25","7.7240431","31508600","1010030"
2026-09-22 23:59:47,"MRNA","182.3292","5.4291647","24033912","183.62828","27.25","25.631641","3.6540499e+08","16406900"
2026-09-22 23:59:47,"SIMO","283.26","5.3011152","1229467","141.56799","31.25","9.637721","33675500","978125"
2026-09-22 23:59:47,"BHF","52.25","4.8354735","2409756","218.9497","","-0.038262866","56712100","826852"
2026-09-22 23:59:47,"THO","73.25","4.732628","1433444","154.3133","0.25","-7.850044","49527400","664465"
2026-09-22 23:59:47,"IOSP","96.82","4.6024201","349771","167.86376","35.25","3.4070277","24228500","179529"
