TimeStamp,"Symbol","Price","Change from the Close","Change from the Close","Volume Today","Volume Today","Relative Volume","Position in Range"
2026-03-10 05:22:26,"CAPR","30.63","2.73","9.78495","2660270","280.139","3.2754","67.9012"
2026-03-10 05:22:26,"KC","14.27","2.28","19.0158","4465054","279.903","3.63821","82.3529"
2026-03-10 05:22:26,"LIF","47.57","2.49","5.52351","2603881","195.999","3.2569","86.0697"
2026-03-10 05:22:26,"QURE","18.0897","3.8197","26.7673","15277664","175.883","4.79616","94.9171"
2026-03-10 05:22:26,"TTE","80.29","1.52","1.92967","3161747","157.841","2.23309","84.6154"
2026-03-10 05:22:26,"SRPT","17.64","0.93","5.56553","3714682","137.527","2.04245","93.8596"
2026-03-10 05:22:26,"LYFT","13.76","0.51","3.84906","22911436","135.436","1.59646","86.2319"
2026-03-10 05:22:26,"CLPT","11.54","1.54","15.4","1971612","133.375","2.74397","79.5918"
2026-03-10 05:22:26,"TTC","99.77","0.3","0.301598","1343786","130.359","2.21058","90.7895"
2026-03-10 05:22:26,"ADM","67.92","0.48","0.711744","3643885","122.57","1.59228","66.2538"
2026-03-10 05:22:26,"PSO","13.18","0.06","0.457317","1339495","121.108","1.32236","86.6667"
2026-03-10 05:22:26,"LI","17.83","0.67","3.90443","3085495","120.222","1.24998","67.1952"
2026-03-10 05:22:26,"FE","50.96","0.12","0.236035","4520330","111.987","1.45992","85.8696"
