TimeStamp,"Symbol","Price","Change from the Close","Change from the Close","Volume Today","Position in Range"
2026-09-23 12:06:54,"IONQ","42.815","2.075","5.09327","71.8102","4.85294"
2026-09-23 12:06:54,"KITT","0.595","-0.0309","-4.93689","58.4167","49.4949"
2026-09-23 12:06:54,"QUBT","9.465","0.385","4.24009","36.5366","0"
2026-09-23 12:06:54,"QBTS","17.73","0.17","0.968109","30.2945","8.04598"
2026-09-23 12:06:54,"RGTI","16.64","0.12","0.726392","28.9205","6.42202"
2026-09-23 12:06:54,"BABA","111.833","-4.477","-3.8492","19.3479","10.8163"
2026-09-23 12:06:54,"ARAY","0.2328","0.0028","1.21739","17.1833","0"
2026-09-23 12:06:54,"BIDU","90.055","-2.375","-2.56951","14.7417","40.1639"
2026-09-23 12:06:54,"SOXL","149.31","-2.64","-1.73741","12.3315","7.65027"
2026-09-23 12:06:54,"SMCI","42.15","0.61","1.46846","10.7797","46.5116"
